Entity,Code,Year,Buddhists,Hindus,Muslims,Jews,Christians,No religion,Other religions
Samoa,WSM,2020,< 10000,< 10000,< 10000,< 10000,210000,< 10000,< 10000
Sao Tome and Principe,STP,2010,< 10000,< 10000,< 10000,< 10000,150000,20000,< 10000
Sao Tome and Principe,STP,2020,< 10000,< 10000,< 10000,< 10000,180000,20000,10000
Saudi Arabia,SAU,2010,10000,500000,23750000,< 10000,840000,20000,20000
Saudi Arabia,SAU,2020,20000,810000,28730000,< 10000,1360000,30000,40000
Senegal,SEN,2010,< 10000,< 10000,12150000,< 10000,430000,< 10000,60000
Senegal,SEN,2020,< 10000,< 10000,16380000,< 10000,400000,< 10000,< 10000
Serbia,SRB,2010,< 10000,< 10000,240000,< 10000,7060000,90000,< 10000
Serbia,SRB,2020,< 10000,< 10000,310000,< 10000,6320000,280000,< 10000
Seychelles,SYC,2010,< 10000,< 10000,< 10000,< 10000,90000,< 10000,< 10000
Seychelles,SYC,2020,< 10000,< 10000,< 10000,< 10000,110000,< 10000,< 10000
Sierra Leone,SLE,2010,< 10000,< 10000,5070000,< 10000,1130000,< 10000,10000
Sierra Leone,SLE,2020,< 10000,< 10000,6340000,< 10000,1570000,< 10000,< 10000
Singapore,SGP,2010,1680000,270000,790000,< 10000,930000,840000,570000
Singapore,SGP,2020,1730000,300000,910000,< 10000,1050000,1120000,510000
Slovakia,SVK,2010,< 10000,< 10000,< 10000,< 10000,4050000,1330000,< 10000
Slovakia,SVK,2020,< 10000,< 10000,< 10000,< 10000,4020000,1380000,40000
Slovenia,SVN,2010,< 10000,< 10000,20000,< 10000,1480000,540000,< 10000
Slovenia,SVN,2020,< 10000,< 10000,30000,< 10000,1380000,680000,10000
Solomon Islands,SLB,2010,< 10000,< 10000,< 10000,< 10000,510000,< 10000,20000
Solomon Islands,SLB,2020,< 10000,< 10000,< 10000,< 10000,710000,< 10000,30000
Somalia,SOM,2010,< 10000,< 10000,12240000,< 10000,< 10000,< 10000,10000
Somalia,SOM,2020,< 10000,< 10000,16620000,< 10000,< 10000,< 10000,10000
South Africa,ZAF,2010,10000,540000,1020000,70000,44140000,3040000,3520000
South Africa,ZAF,2020,20000,640000,970000,40000,51630000,1890000,5360000
South America,OWID_SAM,2010,28,33,60,36,35099,3091,722
South America,OWID_SAM,2020,27,34,64,31,35609,5237,1619
South Korea,KOR,2010,12470000,20000,100000,< 10000,15670000,20160000,350000
South Korea,KOR,2020,9850000,50000,160000,< 10000,16590000,25030000,180000
South Sudan,SSD,2010,< 10000,< 10000,610000,< 10000,5720000,40000,3370000
South Sudan,SSD,2020,< 10000,< 10000,670000,< 10000,6470000,50000,3510000
Spain,ESP,2010,< 10000,20000,990000,10000,36840000,8890000,90000
Spain,ESP,2020,< 10000,60000,1700000,10000,33120000,12570000,210000
Sri Lanka,LKA,2010,14640000,2630000,2020000,< 10000,1590000,< 10000,< 10000
Sri Lanka,LKA,2020,15700000,3280000,2300000,< 10000,1260000,20000,< 10000
Sub-Saharan Africa (Pew),PEW_SSA,2010,60000,1340000,275460000,80000,531650000,26590000,26090000
Sub-Saharan Africa (Pew),PEW_SSA,2020,70000,1460000,368640000,50000,697420000,29140000,27730000
Sudan,SDN,2010,< 10000,< 10000,35310000,< 10000,60000,40000,< 10000
Sudan,SDN,2020,< 10000,< 10000,46250000,< 10000,230000,260000,40000
Suriname,SUR,2010,< 10000,130000,80000,< 10000,280000,40000,20000
Suriname,SUR,2020,< 10000,140000,80000,< 10000,320000,50000,20000
Sweden,SWE,2010,60000,20000,420000,< 10000,6820000,2010000,30000
Sweden,SWE,2020,90000,50000,840000,20000,6290000,2990000,80000
Switzerland,CHE,2010,40000,40000,400000,20000,5740000,1570000,10000
Switzerland,CHE,2020,50000,50000,530000,20000,5320000,2660000,20000
Syria,SYR,2010,< 10000,< 10000,20110000,< 10000,1930000,430000,< 10000
Syria,SYR,2020,< 10000,< 10000,19820000,< 10000,810000,420000,< 10000
Taiwan,TWN,2010,4850000,< 10000,80000,< 10000,1150000,5290000,11860000
Taiwan,TWN,2020,4540000,< 10000,120000,< 10000,1310000,5460000,12230000
Tajikistan,TJK,2010,< 10000,< 10000,7570000,< 10000,80000,< 10000,< 10000
Tajikistan,TJK,2020,< 10000,< 10000,9640000,< 10000,100000,< 10000,< 10000
Tanzania,TZA,2010,< 10000,< 10000,15840000,< 10000,27610000,970000,330000
Tanzania,TZA,2020,< 10000,< 10000,18210000,< 10000,39440000,2120000,1190000
Thailand,THA,2010,64090000,50000,3460000,< 10000,840000,50000,100000
Thailand,THA,2020,67620000,30000,3230000,< 10000,740000,< 10000,< 10000
Togo,TGO,2010,< 10000,< 10000,1090000,< 10000,3930000,510000,1200000
Togo,TGO,2020,< 10000,< 10000,1400000,< 10000,4930000,690000,1640000
Tonga,TON,2010,< 10000,< 10000,< 10000,< 10000,110000,< 10000,< 10000
Tonga,TON,2020,< 10000,< 10000,< 10000,< 10000,100000,< 10000,< 10000
Trinidad and Tobago,TTO,2010,< 10000,290000,80000,< 10000,960000,40000,20000
Trinidad and Tobago,TTO,2020,< 10000,310000,80000,< 10000,1040000,40000,20000
Tunisia,TUN,2010,< 10000,< 10000,10700000,< 10000,20000,40000,< 10000
Tunisia,TUN,2020,< 10000,< 10000,11890000,< 10000,30000,50000,< 10000
Turkey,TUR,2010,30000,20000,72340000,20000,480000,130000,320000
Turkey,TUR,2020,50000,40000,83600000,30000,120000,2180000,90000
Turkmenistan,TKM,2010,< 10000,< 10000,5180000,< 10000,350000,30000,< 10000
Turkmenistan,TKM,2020,< 10000,< 10000,6550000,< 10000,390000,< 10000,< 10000
Uganda,UGA,2010,< 10000,< 10000,3630000,< 10000,28380000,< 10000,370000
Uganda,UGA,2020,< 10000,< 10000,5070000,< 10000,39010000,40000,330000
Ukraine,UKR,2010,50000,< 10000,420000,50000,39700000,6150000,90000
Ukraine,UKR,2020,150000,< 10000,250000,40000,37280000,6770000,190000
United Arab Emirates,ARE,2010,10000,750000,5210000,< 10000,910000,20000,30000
United Arab Emirates,ARE,2020,20000,1110000,6890000,< 10000,1350000,30000,40000
United Kingdom,GBR,2010,280000,930000,3310000,280000,39300000,18140000,760000
United Kingdom,GBR,2020,310000,1140000,4290000,300000,33250000,27090000,980000
United States,USA,2010,3580000,1790000,2770000,5710000,243500000,51180000,2530000
United States,USA,2020,4380000,3040000,4050000,5730000,217270000,100910000,4050000
United States Virgin Islands,VIR,2010,< 10000,< 10000,< 10000,< 10000,100000,< 10000,< 10000
United States Virgin Islands,VIR,2020,< 10000,< 10000,< 10000,< 10000,80000,< 10000,< 10000
Uruguay,URY,2010,< 10000,< 10000,< 10000,20000,2020000,1200000,70000
Uruguay,URY,2020,< 10000,< 10000,< 10000,20000,1510000,1780000,90000
Uzbekistan,UZB,2010,20000,60000,27180000,< 10000,950000,170000,< 10000
Uzbekistan,UZB,2020,< 10000,< 10000,32120000,< 10000,930000,190000,340000
Vanuatu,VUT,2010,< 10000,< 10000,< 10000,< 10000,200000,< 10000,40000
Vanuatu,VUT,2020,< 10000,< 10000,< 10000,< 10000,250000,< 10000,50000
Venezuela,VEN,2010,< 10000,< 10000,10000,10000,25750000,2430000,600000
Venezuela,VEN,2020,< 10000,< 10000,10000,< 10000,25060000,2770000,590000
Vietnam,VNM,2010,24130000,60000,80000,< 10000,7690000,54350000,1160000
Vietnam,VNM,2020,22580000,40000,70000,< 10000,8170000,66370000,850000
Western Sahara,ESH,2010,< 10000,< 10000,410000,< 10000,< 10000,< 10000,< 10000
Western Sahara,ESH,2020,< 10000,< 10000,550000,< 10000,< 10000,< 10000,< 10000
World,OWID_WRL,2010,342750000,1051540000,1675800000,13910000,2147230000,1635250000,154110000
World,OWID_WRL,2020,324190000,1177860000,2022590000,14780000,2268860000,1905360000,172170000
Yemen,YEM,2010,< 10000,< 10000,26700000,< 10000,30000,20000,< 10000
Yemen,YEM,2020,< 10000,< 10000,36090000,< 10000,20000,20000,< 10000
Zambia,ZMB,2010,< 10000,< 10000,70000,< 10000,13640000,10000,240000
Zambia,ZMB,2020,< 10000,< 10000,100000,< 10000,18730000,10000,220000
Zimbabwe,ZWE,2010,< 10000,< 10000,70000,< 10000,11280000,1670000,330000
Zimbabwe,ZWE,2020,< 10000,< 10000,80000,< 10000,13540000,1640000,260000
